join,name,ye
271565,MINNEAPOLIS W-5 P-03,24
271525,MINNEAPOLIS W-4 P-05,21
621190,ST. PAUL W-5 P-04,21
271515,MINNEAPOLIS W-4 P-03,18
040195,RED LAKE AGENCY PREC,17
271510,MINNEAPOLIS W-4 P-02,17
271590,MINNEAPOLIS W-5 P-08,17
660035,FARIBAULT P-3,16
860127,MONTICELLO P-2,16
194430,SOUTH ST PAUL P-3,15
270205,BROOKLYN CENTER P-02,15
270405,BROOKLYN PARK W-W P-3,15
820045,COTTAGE GROVE P-02,15
820170,LAKE ELMO P-1,15
860140,OTSEGO P-1A,15
271665,MINNEAPOLIS W-7 P-05,14
271710,MINNEAPOLIS W-8 P-03,14
620450,ROSEVILLE P-03,14
270397,BROOKLYN PARK W-W P-1R,13
271520,MINNEAPOLIS W-4 P-04,13
271555,MINNEAPOLIS W-5 P-01,13
271760,MINNEAPOLIS W-9 P-03,13
621200,ST. PAUL W-5 P-05,13
621540,ST. PAUL W-7 P-12,13
690230,DULUTH P-17,13
860005,ALBERTVILLE P-1,13
860020,BUFFALO P-1,13
192220,FARMINGTON P-2,12
192250,FARMINGTON P-5,12
270215,BROOKLYN CENTER P-04,12
270395,BROOKLYN PARK W-W P-1O,12
271530,MINNEAPOLIS W-4 P-06,12
271540,MINNEAPOLIS W-4 P-08,12
271560,MINNEAPOLIS W-5 P-02,12
271585,MINNEAPOLIS W-5 P-07,12
271820,MINNEAPOLIS W-10 P-04,12
400075,LE SUEUR,12
500035,AUSTIN W-2 P-2,12
620350,NEW BRIGHTON P-5,12
620820,ST. PAUL W-2 P-15,12
700005,BELLE PLAINE,12
820375,WOODBURY P-01,12
860075,DELANO,12
860155,ST MICHAEL P-1A,12
860156,ST MICHAEL P-1B,12
070135,MANKATO W-03 P-09,11
100040,CHASKA W-1,11
100050,CHASKA W-3,11
191280,BURNSVILLE P-08,11
191720,EAGAN P-02,11
192970,LAKEVILLE P-07,11
270200,BROOKLYN CENTER P-01,11
270220,BROOKLYN CENTER P-05,11
270330,BROOKLYN PARK W-C P-7,11
270375,BROOKLYN PARK W-E P-6O,11
270450,CHAMPLIN W-1 P-01,11
271620,MINNEAPOLIS W-6 P-04,11
272160,MINNETONKA W-3 P-D,11
621330,ST. PAUL W-6 P-05,11
621340,ST. PAUL W-6 P-06,11
700111,SAVAGE P-3,11
820395,WOODBURY P-05,11
860141,OTSEGO P-2A,11
020530,BLAINE W-3 P-6,10
022905,RAMSEY W-4 P-1,10
100125,WACONIA W-2,10
140040,DILWORTH CITY,10
191790,EAGAN P-9A,10
191860,EAGAN P-16,10
192210,FARMINGTON P-1,10
192230,FARMINGTON P-3,10
192240,FARMINGTON P-4,10
194410,SOUTH ST PAUL P-1,10
240025,ALBERT LEA W-3 P-1,10
270106,BLOOMINGTON W-3 P-28,10
270225,BROOKLYN CENTER P-06,10
270410,BROOKLYN PARK W-W P-4,10
270985,GOLDEN VALLEY P-1,10
271420,MINNEAPOLIS W-2 P-03,10
271680,MINNEAPOLIS W-7 P-08,10
271735,MINNEAPOLIS W-8 P-08,10
271956,MINNEAPOLIS W-12 P-12,10
272615,RICHFIELD W-3 P-09,10
272665,ROBBINSDALE W-3,10
300022,CAMBRIDGE EAST - P2,10
620340,NEW BRIGHTON P-3,10
620460,ROSEVILLE P-04,10
620580,ST. PAUL W-1 P-05,10
621080,ST. PAUL W-4 P-09,10
621430,ST. PAUL W-7 P-01,10
700120,SHAKOPEE P-2,10
710100,ST CLOUD W2 P7,10
820220,NEWPORT,10
020015,ANDOVER P-3,9
020325,BLAINE W-1 P-5,9
021015,COON RAPIDS W-1 P-3,9
021215,COON RAPIDS W-3 P-3,9
070140,MANKATO W-04 P-10,9
070145,MANKATO W-01 P-11,9
070165,MANKATO W-02 P-15,9
100045,CHASKA W-2,9
140170,MOORHEAD CITY W-2 P-4,9
191210,BURNSVILLE P-01,9
191230,BURNSVILLE P-03,9
194450,SOUTH ST PAUL P-5,9
210090,IDA TWP.,9
270210,BROOKLYN CENTER P-03,9
270310,BROOKLYN PARK W-C P-3,9
270755,EDEN PRAIRIE P-14,9
271135,HOPKINS P-06,9
271150,INDEPENDENCE P-01,9
271230,MAPLE GROVE P-09,9
271505,MINNEAPOLIS W-4 P-01,9
271535,MINNEAPOLIS W-4 P-07,9
271570,MINNEAPOLIS W-5 P-04,9
271850,MINNEAPOLIS W-10 P-10,9
272190,MINNETONKA W-4 P-B,9
272595,RICHFIELD W-2 P-06,9
272610,RICHFIELD W-3 P-08,9
272645,ROBBINSDALE W-1,9
272675,ROBBINSDALE W-4,9
272855,ST LOUIS PARK W-4 P-14,9
310140,GRAND RAPIDS P-1,9
480060,KATHIO TWP.,9
500050,AUSTIN W-3 P-1,9
550176,ROCHESTER W5 P3,9
560195,FERGUS FALLS W-3 P-2,9
620110,LITTLE CANADA P-2,9
620550,ST. PAUL W-1 P-02,9
620620,ST. PAUL W-1 P-09,9
621220,ST. PAUL W-5 P-07,9
730360,ST CLOUD W4 P7,9
740120,OWATONNA W-4 P-2,9
820175,LAKE ELMO P-2,9
820235,OAKDALE P-3,9
850110,ST CHARLES,9
020125,ANOKA P-5,8
020505,BLAINE W-3 P-1,8
020525,BLAINE W-3 P-5,8
021010,COON RAPIDS W-1 P-2,8
021220,COON RAPIDS W-3 P-4,8
021820,FRIDLEY W-3 P-4,8
030075,DETROIT LAKES W3 P1,8
040035,BEMIDJI W-4,8
120090,MONTEVIDEO P-2,8
130055,LINDSTROM,8
130105,WYOMING,8
180005,BAXTER P1E,8
191140,APPLE VALLEY P-14,8
191765,EAGAN P-6B,8
192780,INVER GROVE HTS P-08,8
194230,ROSEMOUNT P-3,8
270010,BLOOMINGTON W-1 P-08,8
